Dataset,Code,Project,sha,CWE,Severity,Year,owner,project,Date,Message,sha-p
VULAS,GOOGLE-GSON-2012-05-5,https://github.com/google/gson,1103bda23acb1719364e834a4545739ec2f76cd0,,,,google,gson,3/15/12 22:27,"Ensuring that the hash is unpredictable and well distributed.

We achieve this by using the same algorithm as the Perl version, but this implementation
is being written from scratch for license compliance.",94b8032df779a1cd501fa21c22bbda951af91a5c
VULAS,ECLIPSE-JETTY-413684,https://github.com/eclipse/jetty.project,2f08ba29487aff6624dbf947b1fbd845cdd33464,,,,eclipse,jetty.project,7/25/13 1:01,"413684 - Trailing slash shows JSP source

Fixed alias checkers.   Non existent directory does check for none existence.  Prefix and Suffix check look for none empty/trivial prefix/suffixes",ab7268e5163ff0788804e6d4eb809ce275dd51b9
VULAS,APACHE-AXIS2-5683,https://github.com/apache/axis2-java,1b560264151217dae8b34b6aa4dfff4f51377656,,,,apache,axis2-java,6/5/16 9:32,"AXIS2-5683: Merge r1746880 to the 1.7 branch to fix a potential XSS vulnerability in ListingAgent.

git-svn-id: https://svn.apache.org/repos/asf/axis/axis2/java/core/branches/1_7@1746886 13f79535-47bb-0310-9956-ffa450edef68",0959a27a51e844c7381ec1ad8a411861bba09b98
VULAS,APACHE-AXIS2-5846,https://github.com/apache/axis2-java,65aaacc779530682887bc6da4099b5ec4cfab406,,,,apache,axis2-java,4/23/17 11:38,"AXIS2-5846: Fix a local file inclusion vulnerability in SimpleHTTPServer. This occurs because axis2server.sh adds the root directory of the binary distribution to the class path, and SimpleHTTPServer doesn't limit the search for XSD/WSDL files to the service class loader. This means that axis2.xml is accessible remotely via a specially crafted query string (xsd=../conf/axis2.xml).

Although AxisServlet is not known to be vulnerable, this change also modifies ListingAgent to limit the search to the service class loader.


git-svn-id: https://svn.apache.org/repos/asf/axis/axis2/java/core/trunk@1792353 13f79535-47bb-0310-9956-ffa450edef68",3f2ad217f0364c44d167f2d1907b019c97ae0640
VULAS,APACHE-COMMONS-001,https://github.com/apache/commons-compress,a080293da69f3fe3d11d5214432e1469ee195870,,,,apache,commons-compress,6/15/18 17:44,"fix edge case vulnerability detected by @DidierLoiseau

While this allows a path traversal attack it can only be exploited in
a special edge case.",ba12419e6b73441a5a5c1e697ff32c9a9d28e855
VULAS,CVE-2007-0450,https://github.com/apache/tomcat,1735d7f55094c3775c7d94e4f8568336dbe1a738,,,,apache,tomcat,2/12/07 1:02,"- Add some options for handling URL chars.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/tc6.0.x/trunk@506200 13f79535-47bb-0310-9956-ffa450edef68",820f6fba24b5b35e5ef41b12bdbbd7eeefc9784c
VULAS,CVE-2007-2450,https://github.com/apache/tomcat,1bc3bcb2848f478fd6674487d6dad507fd5dd686,,,,apache,tomcat,6/14/07 1:55,"Fix XSS issue in Manager and Host Manager. This is CVE-2007-2450.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/tc6.0.x/trunk@547077 13f79535-47bb-0310-9956-ffa450edef68",85d386f7a336602a3dbb535bed56536470851711
VULAS,CVE-2007-5461,https://github.com/apache/tomcat,901292cf9d7d8225f8a3b96c7583e2bd8b41772d,,,,apache,tomcat,10/18/07 11:44,"Fix CVE-2007-5461.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/tc6.0.x/trunk@585934 13f79535-47bb-0310-9956-ffa450edef68",558a6f3a9f1f98c0601d83a3cece49fa528b2b80
VULAS,CVE-2008-1728,https://github.com/igniterealtime/Openfire,c9cd1e521673ef0cccb8795b78d3cbaefb8a576a,,,,igniterealtime,Openfire,3/4/08 20:09,"Fixed DoS attack that could bring the server down. JM-1289

git-svn-id: http://svn.igniterealtime.org/svn/repos/openfire/branches/openfire_3_5_0@10031 b35dd754-fafc-0310-a699-88a17e54d16e",9d4ff701f3e7871d0a1addb146fe7c8da1825a40
VULAS,CVE-2008-1947,https://github.com/apache/tomcat,49c71fc59c1b8f8da77aea9eb53e61db168aebab,,,,apache,tomcat,6/2/08 21:41,"Fix potential XSS in host-manager.
This is CVE-2008-1947.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@662582 13f79535-47bb-0310-9956-ffa450edef68",e0200b0d9574b5809f30fb137c4cce9f8a27958e
