Dataset,Code,Project,owner,project,sha-p,sha,sha-reg,sha-reg-p
SECBENCH,,https://github.com/pfsense/pfsense,pfsense,pfsense,d6a0379d291f5e98500776618559343f40254e40,002bc4ab3268e6e5cb3a01ce73a4c1624d09050a,239024ee663e7fdb7434d47106338708041bce12,737f26e9d6e389b16b8df8716383ac9e126996e0
SECBENCH,,https://github.com/nextcloud/server,nextcloud,server,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,0074062b5329c3d43679909fddce2d70608a4475,633d7826c9577ff687eae33d208f9f5faa9aa1b6,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5
SECBENCH,CVE-2014-1608,https://github.com/mantisbt/mantisbt,mantisbt,mantisbt,b72fdaeb7cb8786401faab520d43092c8bdb44aa,00b4c17088fa56594d85fe46b6c6057bb3421102,c8c95101b89e2261568d056162d04b72157636ed,0c80b35fda6d513933431b0934abfc2e45200f6f
SECBENCH,,https://github.com/nextcloud/server,nextcloud,server,742f54b6d556797bbef2847e546861de0008a28a,0241ddc759f7e2d2695c4626df5d2ac27b8b1d90,76fa7bab63190ac363222f7e3653ca04e14dab65,34559ef11428c9a2a1b83f8a63d650d1fa0be49e
SECBENCH,,https://github.com/splitbrain/dokuwiki,splitbrain,dokuwiki,10ffc9dd6a89562ef502baa21f968cf269fe21b0,02b0b681935185a1c4d2d64e76fe499f3d438d12,702eb8985f33ca5781d2da5cedd9d6a4b9c6a030,3fd0b6768bf7f649d77c937e399f578d7add7637
SECBENCH,CVE-2012-3371,https://github.com/openstack/nova,openstack,nova,b91d2fc02d927066ed0fe21439ccb7548de4138f,034762e8060dcf0a11cb039b9d426b0d0bb1801d,d86f1af6326d4276e9cbfb3274c211ff3f5629cb,321f581660aad3fc9da5f88276bfdf11f6960d97
SECBENCH,,https://github.com/realm/realm-cocoa,realm,realm-cocoa,8ceae74eb169a98676da084b7e1667d51c765bc2,04ca766cbbdec1ba417f90f038c9376170edbc12,95e03cdbdbafc29847fcd39022e6afb03e8e1f2c,8cc68188613057813597333fa82e8b34955c87fa
SECBENCH,,https://github.com/mattpass/ICEcoder,mattpass,ICEcoder,f82914207dca4a4f36404ac371610421cfb52d93,05de070294681745bdc5c54b336dd48083feb59e,6f9c127c1b9fd9bf4f6b81ab9baae1bb827ecef2,3facbe2de670ed1eb3474397f2cdf7b6ee91e548
SECBENCH,CVE-2012-2098,https://github.com/apache/commons-compress,apache,commons-compress,fdd7459bc5470e90024dbe762249166481cce769,0600296ab8f8a0bbdfedd483f51b38005eb8e34e,5ed6fa433492c0ca701593efa7860b65587778ab,ab26943fe8e29f8e5603d5e788dc75abeba898bf
SECBENCH,CVE-2012-2660,https://github.com/josh/rails,josh,rails,9340f89849606dba02f44038171f3837f883fd4e,060c91cd59ab86583a8f2f52142960d3433f62f5,3d08614826e18e005818c7685b9bc4cdc28f77af,4017f6c7e6990e04d81fef943fd6bd6691e11f8f
SECBENCH,,https://github.com/MISP/MISP,MISP,MISP,62a3da46f2aeb728544665c51bb39172df2196bd,0614db919e0cb0f463354aedb4bd20f1a8d4cf0b,85e7f66ada595ca163cbd24634437c11decc9983,bb642579b6743380b00e801bc2f30e116950d9cf
SECBENCH,,https://github.com/libretro/RetroArch,libretro,RetroArch,669599cfd7c2d316e9086d31e1ccaab5b5964adb,062433491fb6d7f90e4eba03a3d8d943dd59de70,b70d6292ffce37f8356099f9155bdf06600f81af,966db762cf9913719ebdd1c71ffd2c06e71c9af3
SECBENCH,,https://github.com/owncloud/core,owncloud,core,f0da7b20c12c14e0fbd9cddfbe7c5c26d43e2607,068688063eb660d35ee0dca8d3ceb53d2f243bbe,d9c3de59c157ed131b82e61038e4dbd0566e0273,605ac7eb67d419e7a143e6f0914e5c63ef13079d
SECBENCH,,https://github.com/MISP/MISP,MISP,MISP,9cd1b0469d872a48afff17f5b2bfb9a6ad0ef8ee,0687d3f6f48247fbcb510c26e0966864a8fa9081,724c13fe234c03697a9838443fba491bb3d24233,42c612601ff0f99b780af235e51d700270860627
SECBENCH,,https://github.com/joomla/joomla-cms,joomla,joomla-cms,f5bf6fbc15b4f2e1c30e2bf2d6eadfbaf654aff0,072e9bf0f2266885f40eb23d54da636280b9b088,a4a12486b16899acf0e61ba7f7ec0e770457e0fa,5dd833eb034cc0b8c6852e9c90e53de80ea639d9
SECBENCH,,https://github.com/cakephp/cakephp,cakephp,cakephp,2c85da44da2c9bbf6fc4a52ba990660f554d320d,076b6f998c42613dd64206c0a1d0d4a6e2055efb,259303d9359232742fe5330e1acb5ad69c5ebcd7,1bfcc44b180a1e036af40a41ed08f0504774f429
SECBENCH,,https://github.com/mattpass/ICEcoder,mattpass,ICEcoder,69d8ddce7756802525bc07ac028b939e554a81ca,078068e2527747f5688997d5dc1293213de65bd1,9712c369c1f287f27e2048922675dd40caf98009,85a9cfaecdb208dce20b834bf01a131632ec9935
SECBENCH,,https://github.com/dlitz/pycrypto,dlitz,pycrypto,f49fd0e1b57071e52200806d095679753fe36e17,0782d68840d0ebf850516e606e398b8a5396eb64,2cd83df118feb1c6b375c94d53503ec338289c48,efa811b7c52a2bd4663bc11f77358d74edea59d7
SECBENCH,,https://github.com/curl/curl,curl,curl,2497c42172307485fb60100474b68c1620041df5,0796a993171f627d546c42a8fb28e906528cc688,b45d50ccc26e172dbad499c258c2bf70777f9026,78e0ba82b01a8fe63f3413f2fa89b63b09b7c535
SECBENCH,CVE-2016-4542,https://github.com/phpmyadmin/phpmyadmin,php,php-src,d650063a0457aec56364e4005a636dc6c401f9cd,082aecfc3a753ad03be82cf14f03ac065723ec92,46fcd3fc08de938293a8a4fe25f9d1ed18457f4a,507e3b91930835b698a29bfa7ba978470d6302ef
SECBENCH,,https://github.com/Pylons/pyramid,Pylons,pyramid,a6db36c984bd69f8a6aba80ad6db435cd4b1b93c,082d3b2cb9127f8acfd4d081e69c427a37bae91d,a62cc2264c2dda6a0588fddbc5712afea9d89837,ecbf957db6c1efbc4c90852d3a62ca4df669f5f4
SECBENCH,,https://github.com/php/php-src,php,php-src,c374b80dda6e07f7dbc1e43a095c075beee6ca5f,08b72ac9f12890793bc67446e4999892607bbf7b,28011fd14f9101adcfa92209039be6b218df5195,26a6d707a18701a51269969ea97b8b9b4d851d8a
SECBENCH,,https://github.com/pfsense/pfsense,pfsense,pfsense,53aca1fdc3f7683efd90472ed7be78f793eb78bb,08cf5428d6fa7d080869574cee0f22e669b8db03,7cb5af21cf0fb59b1d6e8dedbea229af7c45e36b,6a71103ae1daf046e119484c79faf84a612e0242
SECBENCH,CVE-2014-0081,https://github.com/josh/rails,josh,rails,f706d5f945c5751072bb90d080aff154e6858435,08d0a11a3f62718d601d39e617c834759cf59bbb,b33555d3ef26dbe07472c9e1d23f3a6e49a35059,864514a460d8fdcd8766ca5a9bba2978038985aa
SECBENCH,,https://github.com/grails/grails-core,grails,grails-core,ba77c1be24538d86dc21aedd4d9e19373ed13ffc,08d543b74810debda7a8adb5efed41057597ad5e,c2c5ef3b761fcfa59f1f8ee797ae5ad6f6902f75,f50af150333c4f6aa7078eef35c7b85213bbbf42
SECBENCH,,https://github.com/phpmyadmin/phpmyadmin,phpmyadmin,phpmyadmin,b628fcc8a908d0fecf391cf2cc161691255dbbe6,0933619b6b2534b221817ea3f631cb984c258d6b,1d9cc70be202edd384c10033b1a4241233aa4f61,a7d660988481b9b3e97e09837f57bae7834e263c
SECBENCH,TNL-2248,https://github.com/edx/edx-platform,edx,edx-platform,2ba5d483fc46cf60dba99fb1122d36268cac8ee5,09e1f9ed71910341b1e806466d70308162dbb832,a06cc229a012fa7d6b93027233e1628d565edb95,8c3931ba0a1a8137904cf0af533fcf12fb836fd8
SECBENCH,CVE-2015-0208,https://github.com/openssl/openssl,openssl,openssl,8106d61c354430d6bbbd7f8e7840a39efc0f5829,09f06923e636019c39c807cb59c481375e720556,848a950b715fa73070a9d1638e7630acfb0dfa4d,4e525a0b4db2b11bee15a485b6ed6622ca8948f1
SECBENCH,CVE-2011-1004,https://github.com/rubinius/rubinius,rubinius,rubinius,3e134f200b26f68d6295dd809baee5e609065fd4,0a0289086b6a9e5bf1ffb0c58dba3ff5a80800b9,c2fef06437b428fd79630a650dc29d264a536adc,4f211f3b8a286263a51ea2a6cba2f7b203a85a1b
SECBENCH,CVE-2011-3358,https://github.com/mantisbt/mantisbt,mantisbt,mantisbt,4b7492d43680729b4a0328eddc522560dd44514b,0a636b37d3425aea7b781e7f25eaeb164ac54a3d,7a74921318f28a6293649c801b2aa7f7dc9b16cc,7018f2b1a493123799ae352fe6908f2377238bbc
SECBENCH,,https://github.com/postgres/postgres,postgres,postgres,11cb598c397eaa18916c1a0f944f3ead05dab971,0a73f69cb4842f46c1a080b3375b0f268ba1e5de,9c4eceb4e35e793b0ff882907755618371aecc8b,5fbbd364e8083d4fea8b5471dcecb95c50674c3d
SECBENCH,,https://github.com/curl/curl,curl,curl,14b77db1b97bb382ec97535666813dea26594bd0,0aabfd99631a292a72ca601ed0e83786ce9f0ae4,2336d010ef98220e676f545e7a712b40e33dac86,b9af0d89d5e28912a10a5f9501961996559a80d2
SECBENCH,CVE-2011-0448,https://github.com/josh/rails,josh,rails,6b1018526fb304727ee4191afc2d8a5e29e49eea,0b58a7ff420d7ef4b643c521a62be7259dd2f5cb,11acaa172c73c5d1787184ef5545df358027462c,ff79df004c3cd1b3eb9d63e20f991331d35e51b5
SECBENCH,CVE-2013-4491,https://github.com/josh/rails,josh,rails,bea9c9b4c0f9bb7356ea2058118fe40495432010,0c7ac34aed1845044cd1911e5a775366d7ca41c1,b1bc3b3cd352f68d79d7e232e9520eacb56ca41e,bd4f21fbac495fb28b6be993be808509e567239e
SECBENCH,,https://github.com/unbit/uwsgi,unbit,uwsgi,a559e9ea631afa9331cba77d3f1634611a6aa4ab,0cb2e6852bcee02484dea06b2c5e9c8f6cbb3138,856fd8b00fd81de165f9c84596ac7b5fa6e5070b,d60d90afe3aec58d22e9e490a4f494bdac2fe13f
SECBENCH,,https://github.com/php/php-src,php,php-src,2f0d084ab8228e1e5704a3fb66fb1c9cd6bd411e,0d1998e34ff487aab6451963d60697dd5b5b0115,e03b0dea7d5298ff60bdf25af7f565f0e0c2a7a9,0e0936fa59affbcae5c94a1f7be2ed7378c2b88a
SECBENCH,CVE-2015-3152,https://github.com/php/php-src,php,php-src,3e88d610e54dac75a374af9e8501f02da67e4466,0d2f147d80bd02d4d1ccaa0fa530d9d4846b3c75,3b24a795a6a1f603f8616914efe9099de46639e2,b087b2ff6245cfe08693e449d797b36e004c5dd4
SECBENCH,,https://github.com/curl/curl,curl,curl,9798432f567f1589f1da6216e2795ab10b733128,0ddab51ad874b64e38e26840a916fc13f4d2ed7b,6e22b74253ff77a0ca2964789d740701a97a073c,a547f3a21eb9aaaedca0de8db61d07e4db69a5a9
SECBENCH,,https://github.com/FFmpeg/FFmpeg,FFmpeg,FFmpeg,b2a0a7fb8a3580897f2c9d8f2d160a5acab433e4,0eaec10550bd9a0682db9f7920ed0d86f1450f4b,cb14d30240b083939639c4be27f15877bf2876c8,0bac7a436be649b87922d785a840d93f9a8b4b68
SECBENCH,,https://github.com/rubinius/rubinius,rubinius,rubinius,aee7f2b9289f4d9cf77d85281b04bae8e0f8681f,0f37846c2e23c8453b55d0ea598d17f1cbaedc32,ff4a674fea1ad5cee02695f9c9c3c96d5659c934,860097188c8682ae3199a0f905236189b1d8a4e9
SECBENCH,,https://github.com/php/php-src,php,php-src,a6bcfeccf773485657e8fd99f121a5810cfe2097,0fb7618d6e74b4304d0512f5fe64770e3944dad6,cee97220285fd7b955a58617b3e0300ec104ed87,9af582bbe069b30f2bb28ff10cb70ab475474e41
SECBENCH,,https://github.com/MISP/MISP,MISP,MISP,aa8ba55daccf1f4f9b5eab07589fd9fb3df9b895,0fff291c6758c5c36d4d600208c47268ca1a41d4,1b7254efae1b0374ba79991fe4c8486039669e46,0e0ad1eb257d9c869490c7f6f23f52da1db22b2f
SECBENCH,CVE-2015-0206,https://github.com/openssl/openssl,openssl,openssl,1421e0c584ae9120ca1b88098f13d6d2e90b83a3,103b171d8fc282ef435f8de9afbf7782e312961f,91b60e2ab4e0ebeaf7690a2a329e88658a6ad30b,ede6f762030467e492fabd49ad4c3fd20deb71d4
SECBENCH,,https://github.com/josh/rails,josh,rails,f6de806537d60e94183f26cd6a16da426e84911e,10a63e2a0cbdc1e8e4d7aef87afc868bd599ca94,231069e683a3d19c85db3bb53963ccdd666c2530,741bf96a424256648f2624959f0da7602e81bf4c
SECBENCH,CVE-2016-5364,https://github.com/mantisbt/mantisbt,mantisbt,mantisbt,ecd12610576e71764a318d8ead1c753ab7a30d16,11ab3d6c82a1d3a89b1024f77349fb60a83743c5,07cda05be484384b0c0332cf75d013f70deff030,7fdfabe1bbd3d991fd4b147a83ef58f967e8e7dd
SECBENCH,CVE-2013-2061,https://github.com/OpenVPN/openvpn,OpenVPN,openvpn,9a3f670248d6f519a399e65a7232e2196b5115db,11d21349a4e7e38a025849479b36ace7c2eec2ee,270dc91164013eb7ace34d7b098fa11a97aef847,58066d04036bf29107f67ca38c6e964ec11f9dfd
SECBENCH,CVE-2010-4180,https://github.com/nginx/nginx-releases,nginx,nginx-releases,27294215f36bb3c0e2ed2f438f615efc2bc67260,12368999b3ed45cde5e4cea8ea985d4444dcd932,a8b475b58878c540f5782b000ab513d38c524355,99bbdbeffe6af6b81bf30b6906efdfbe2de0fd24
