Dataset,Code,Project,sha,owner,project,sha-p,sha-reg,sha-reg-p,reg
SECBENCH,,https://github.com/AFNetworking/AFNetworking,f801bc453c8c74d7cd92482a67b66537e72b4835,AFNetworking,AFNetworking,648c650ae700ceba6caf8f9753e7f1a1d1e8ee04,1855f3c434a0d5d0dda1807f89995ce52c00cb76,1d649bb6e9d04fe402b50cb6f9a37dd01b5c0d13,FOUND
SECBENCH,,https://github.com/AFNetworking/AFNetworking,6f63157e33149226bfc2f014748cb5ef5c9a3a9b,AFNetworking,AFNetworking,2b2558a90e7bfb2ef5169b1ca21b91851e5a5b7d,bad206b41fa5a9d9d3185cfde60019f5b6a5df88,a2e0453cdaf463c0669031c4830f22aa323188ff,FOUND
SECBENCH,,https://github.com/AFNetworking/AFNetworking,2b2558a90e7bfb2ef5169b1ca21b91851e5a5b7d,AFNetworking,AFNetworking,49186d9a3032dc02da1d0cc445cbf69b0cfb001b,3486a008a1fd1348d0f2fe748a5e23933d94647a,9cde4e45845486bdb46ad322448f93df3b8479bf,FOUND
SECBENCH,,https://github.com/AFNetworking/AFNetworking,c23c37ab4ab9b2401e824df717538e37bc5c85a4,AFNetworking,AFNetworking,92006270b12ed6778095afc9d8bae9b54210df18,789dae8ce405b30aa578870a80255ec8ebdd6cac,59c8256a3181dbfbf5f329f06bea6bd4a70370fa,FOUND
SECBENCH,,https://github.com/antlr/antlr4,d4f2abc5e3def63190c7ab124c5a70dba9e70661,antlr,antlr4,9c186c8d5299e1dcbc8e0c486c3e07c4ab6af0a1,1f797853bbab358babf7841abfd8f81088448831,7865142f9e1b38a1e155ad833a21b98d57593c16,FOUND
VULAS,APACHE-AXIS2-5683,https://github.com/apache/axis2-java,1b560264151217dae8b34b6aa4dfff4f51377656,apache,axis2-java,0959a27a51e844c7381ec1ad8a411861bba09b98,f19cf107af06ea314fb0ef952a53d13b55893721,b7bd8a03980428a5c750e68d863610dd28f919ff,FOUND
VULAS,APACHE-AXIS2-5846,https://github.com/apache/axis2-java,65aaacc779530682887bc6da4099b5ec4cfab406,apache,axis2-java,3f2ad217f0364c44d167f2d1907b019c97ae0640,0446f82f58aeaa13288368fcf528bc7b6fc163ce,8242d62513b14bdb06c312725c6e4036e6b69632,FOUND
VULAS,APACHE-COMMONS-001,https://github.com/apache/commons-compress,a080293da69f3fe3d11d5214432e1469ee195870,apache,commons-compress,ba12419e6b73441a5a5c1e697ff32c9a9d28e855,1930eed89459d1ea726762e362143a5aa2ccaeb4,d85561d9017d4fb0d4fa0a75ca97d617aaae549b,FOUND
VULAS,CVE-2007-0450,https://github.com/apache/tomcat,1735d7f55094c3775c7d94e4f8568336dbe1a738,apache,tomcat,820f6fba24b5b35e5ef41b12bdbbd7eeefc9784c,8fea85c9151ca39f05bc9d2a2f5ddce0aa4b4d6f,48314f919eb2f084d1da095c09059437e8881e9e,FOUND
VULAS,CVE-2007-2450,https://github.com/apache/tomcat,1bc3bcb2848f478fd6674487d6dad507fd5dd686,apache,tomcat,85d386f7a336602a3dbb535bed56536470851711,901ed39cddf7329b0a19b2c6a797070680829ed2,62fc7509435ed58f8a62f844943592ff10332ae6,FOUND
VULAS,CVE-2007-5461,https://github.com/apache/tomcat,901292cf9d7d8225f8a3b96c7583e2bd8b41772d,apache,tomcat,558a6f3a9f1f98c0601d83a3cece49fa528b2b80,2e4942f3643f8a794a3e4b2dc350187eadc2db97,e76f09a3cf2d71798c8f5720c639cf2f11ca675f,FOUND
VULAS,CVE-2008-1947,https://github.com/apache/tomcat,49c71fc59c1b8f8da77aea9eb53e61db168aebab,apache,tomcat,e0200b0d9574b5809f30fb137c4cce9f8a27958e,453b894b7deb055b2ff357275e4303b9ce84ebc5,da373fa291e95743aa09e701bb1c88482660aebc,FOUND
