Dataset,Code,Project,sha,CWE,Severity,Year,owner,project,Date,Message,sha-p,Language,Score
SECBENCH,,https://github.com/pfsense/pfsense,002bc4ab3268e6e5cb3a01ce73a4c1624d09050a,,,2010,pfsense,pfsense,7/23/10 7:59,"Fix the glob() to return only the files, not the pathnames, use chdir()
before.
Fix a possible injection of ../ in the database path by using basename()
Fix the week graph math so it is correct.",d6a0379d291f5e98500776618559343f40254e40,php,
SECBENCH,,https://github.com/nextcloud/server,0074062b5329c3d43679909fddce2d70608a4475,xss,,2012,nextcloud,server,6/15/12 13:51,fixed xss vulnerability,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,php,
SECBENCH,CVE-2014-1608,https://github.com/mantisbt/mantisbt,00b4c17088fa56594d85fe46b6c6057bb3421102,CWE-89,HIGH,2014,mantisbt,mantisbt,1/17/14 21:24,"Fix CVE-2014-1608: mc_issue_attachment_get SQL injection

Use of db_query() instead of db_query_bound() allowed SQL injection
attacks due to unsanitized use of parameters within the query when using
the SOAP API mc_issue_attachment_get.

This issue was reported by e-mail by Andrea Barisani from oCERT, on
behalf of Martin Herfurt <martin.herfurt@nruns.com>, a security
researcher at n.runs professionals GmbH, who discovered the issue
during an audit at a customer's site.

Fixes #16879

Signed-off-by: Damien Regad <dregad@mantisbt.org>

Conflicts:
	api/soap/mc_file_api.php",b72fdaeb7cb8786401faab520d43092c8bdb44aa,php,7.5
SECBENCH,,https://github.com/scala/scala-dist,01285f0475fec7a21bb4cb1f30363df2e294966d,,,2017,scala,scala-dist,4/3/17 18:14,"Ensure archive fetch script uses HTTPS download

This is to prevent an MitM possible by downloading the releases
in plain text (using HTTP). Per scala/scala-lang#627 this script
appears to make artifacts available on scala-lang.org and so any
form of attack here could be problematic.",5379de92c562ff3646e78ecb938d31bebcabce10,bash,
SECBENCH,,https://github.com/nextcloud/server,0241ddc759f7e2d2695c4626df5d2ac27b8b1d90,,,2014,nextcloud,server,2/20/14 13:28,"Merge pull request #6519 from nhirokinet/master

Security Update: session fixation",742f54b6d556797bbef2847e546861de0008a28a,php,
SECBENCH,,https://github.com/splitbrain/dokuwiki,02b0b681935185a1c4d2d64e76fe499f3d438d12,,,2006,splitbrain,dokuwiki,10/8/06 10:05,"strip controlchars in fetch.php #935

Fixes a header injection/XSS vulnerability

darcs-hash:20061008100523-7ad00-be06a942badb6a2a9ed862be003ee0050504b4b0.gz",10ffc9dd6a89562ef502baa21f968cf269fe21b0,php,
SECBENCH,CVE-2012-3371,https://github.com/openstack/nova,034762e8060dcf0a11cb039b9d426b0d0bb1801d,CWE-20,LOW,2012,openstack,nova,6/26/12 16:44,"Use compute_api.get_all in affinity filters.

Updates the affinity filters so they make a single compute API
call to lookup instance host information rather than single
lookups for each UUID.

This resolves a potential performance issue which can cause a
scheduler to hang while processing requests which contain large numbers
of UUID's in the scheduler_hints.

Fixes LP Bug #1017795.

Change-Id: I30f434faf109058573ee41c4a6abce2e48939e8d",b91d2fc02d927066ed0fe21439ccb7548de4138f,py,3.5
SECBENCH,,https://github.com/realm/realm-cocoa,04ca766cbbdec1ba417f90f038c9376170edbc12,,,2015,realm,realm-cocoa,11/19/15 19:22,"Fix memory leak when using Object(value:) for subclasses with List/RealmOptional properties

Calling `[self init]` from `[RLMObjectBase initWithValue:schema:]` ends up
calling a second non-convenience Swift initializer on the object, which means
that all of the properties get initialized a second time and the old values are
leaked.

Closes #2882.",8ceae74eb169a98676da084b7e1667d51c765bc2,mm,
SECBENCH,,https://github.com/mattpass/ICEcoder,05de070294681745bdc5c54b336dd48083feb59e,,,2014,mattpass,ICEcoder,9/16/14 17:12,"Die if we have a realpath file vs doc root mismatch

Stops LFI attacks such as:

lib/file-control.php?action=load&file=/..././/..././/..././/..././/..././/..././etc|passwd&csrf=4c43835566ee4e2x4a455df75a66c47f",f82914207dca4a4f36404ac371610421cfb52d93,php,
SECBENCH,CVE-2012-2098,https://github.com/apache/commons-compress,0600296ab8f8a0bbdfedd483f51b38005eb8e34e,CWE-310,MEDIUM,2012,apache,commons-compress,5/20/12 18:04,"[CVE-2012-2098] Integrate fallback sort into the rest, add some more tests and fix bug in bucket boundary calculation

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1340786 13f79535-47bb-0310-9956-ffa450edef68",fdd7459bc5470e90024dbe762249166481cce769,java,5
SECBENCH,CVE-2012-2660,https://github.com/josh/rails,060c91cd59ab86583a8f2f52142960d3433f62f5,CWE-264,MEDIUM,2012,josh,rails,5/30/12 22:13,"Strip [nil] from parameters hash.
Thanks to Ben Murphy for reporting this!

CVE-2012-2660",9340f89849606dba02f44038171f3837f883fd4e,rb,6.4
SECBENCH,,https://github.com/MISP/MISP,0614db919e0cb0f463354aedb4bd20f1a8d4cf0b,,,2013,MISP,MISP,5/22/13 8:52,fixes information leakage vulnerability on REST XML outputs,62a3da46f2aeb728544665c51bb39172df2196bd,php,
