Dataset,Code,Project,sha,CWE,Severity,Year,owner,project,Date,Message,sha-p,Language,Score,Delete,Commits,Compare
VULAS-M,CVE-2016-5641,https://github.com/swagger-api/swagger-codegen,cee45bc9aa0296b35170cb10b5132491c5dbdc88,CWE-138,,2016,swagger-api,swagger-codegen,7/13/16 12:44,"Merge pull request #3360 from wing328/csharp_escape_double_hyphen

[C#] fix double hyphen in c# generator",133c3abc57e7412261e5f1b69b4dbd9a94586b01,java,0,1,198,https://github.com/swagger-api/swagger-codegen/compare/133c3abc57e7412261e5f1b69b4dbd9a94586b01…cee45bc9aa0296b35170cb10b5132491c5dbdc88
VULAS-M,CVE-2011-2730,https://github.com/spring-projects/spring-framework,9772eb8410e37cd0bdec0d1b133218446c778beb,CWE-16,HIGH,2011,spring-projects,spring-framework,11/25/12 19:50,"Deprecated Spring's own JSP expression evaluation

Since web applications declaring a Servlet 2.3 web.xml become really rare now, we're finally deprecating Spring's own ExpressionEvaluationUtils class. As a consequence, we're also setting ""springJspExpressionSupport"" to false by default, avoiding the potential double EL evaluation problem on pre-Servlet-3.0 containers.

Issue: SPR-5308",bbcf358a9d9c2391955eb21f4fad09a2f101636c,java,7.5,1,1405,https://github.com/spring-projects/spring-framework/compare/bbcf358a9d9c2391955eb21f4fad09a2f101636c…9772eb8410e37cd0bdec0d1b133218446c778beb
VULAS-M,CVE-2017-12624,https://github.com/apache/cxf,8bd915bfd7735c248ad660059c6b6ad26cdbcdf6,NVD-CWE-noinfo,MEDIUM,2017,apache,cxf,10/3/17 10:53,CXF-7507 - Put a configurable limit on the size of attachment headers,487b5f3f1ad43e4c2f9583b35f1967950dec0cd5,java,4.3,0,1,https://github.com/apache/cxf/compare/487b5f3f1ad43e4c2f9583b35f1967950dec0cd5…8bd915bfd7735c248ad660059c6b6ad26cdbcdf6
VULAS-M,CVE-2015-6644,https://github.com/bcgit/bc-java,25aca54734b861ef109ac4943c4a5f98c0c1b885,CWE-200,MEDIUM,2015,bcgit,bc-java,1/14/16 17:37,"last block on J0, counter needs to reflect maxlen(p)",b114daa41aa8659bfdb4a1b53f403c2c237d55ca,java,4.3,0,8,https://github.com/bcgit/bc-java/compare/b114daa41aa8659bfdb4a1b53f403c2c237d55ca…25aca54734b861ef109ac4943c4a5f98c0c1b885
VULAS-M,CVE-2015-5254,https://github.com/apache/activemq,d7a3b9406b8496c3f1508bebf3c7ff5367374b90,CWE-20,HIGH,2015,apache,activemq,11/17/15 14:27,"https://issues.apache.org/jira/browse/AMQ-6029 - make certs available to tunnle servlet - HttpsNeedClientAuthSendAndReceiveTest regression, add javax.security so login exceptions can propogate over http - https://issues.apache.org/jira/browse/AMQ-6013",e8a0d042d8897cffd904697ac8febae7824ddc18,java,7.5,1,45,https://github.com/apache/activemq/compare/e8a0d042d8897cffd904697ac8febae7824ddc18…d7a3b9406b8496c3f1508bebf3c7ff5367374b90
VULAS-M,COLLECTIONS-580,https://github.com/apache/commons-collections,3eee44cf63b1ebb0da6925e98b3dcc6ef1e4d610,,,2015,apache,commons-collections,11/14/15 20:24,"[COLLECTIONS-580] Add validation to MultiValueMap#ReflectionFactory: only Collection classes are support.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1714360 13f79535-47bb-0310-9956-ffa450edef68",be67139289c7167ed393537543b29041f88ca086,java,,1,1310,https://github.com/apache/commons-collections/compare/be67139289c7167ed393537543b29041f88ca086…3eee44cf63b1ebb0da6925e98b3dcc6ef1e4d610
VULAS-M,CVE-2012-2098,https://github.com/apache/commons-compress,8f702469cbf4c451b6dea349290bc4af0f6f76c7,CWE-310,MEDIUM,2012,apache,commons-compress,5/20/12 18:50,"[CVE-2012-2098] Actually this shift is supposed to be unsigned.

Kudos to Findbugs:
http://findbugs.sourceforge.net/bugDescriptions.html#IM_AVERAGE_COMPUTATION_COULD_OVERFLOW


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1340799 13f79535-47bb-0310-9956-ffa450edef68",bbb461e01f3cc687fd6c3dab71ac215df588d1cc,java,5,0,14,https://github.com/apache/commons-compress/compare/bbb461e01f3cc687fd6c3dab71ac215df588d1cc…8f702469cbf4c451b6dea349290bc4af0f6f76c7
VULAS-M,CVE-2018-11039,https://github.com/spring-projects/spring-framework,dac97f1b7dac3e70ff603fb6fc9f205b95dd6b01,NVD-CWE-noinfo,MEDIUM,2018,spring-projects,spring-framework,5/18/18 12:35,"Restrict HTTP methods on Reactive HiddenHttpMethodFilter

This commit restricts the allowed HTTP methods on HiddenHttpMethodFilter
(Reactive variant) to the following: PUT, DELETE, PATCH.

This filter is meant to be used to simulate those methods from HTML
forms sent by browsers, so no other methods are allowed.

Issue: SPR-16836
(Cherry-picked from a5cd01a4c8)",82f421bff80535457816bd5cc0c93134e8ed9ed2,java,4.3,0,2,https://github.com/spring-projects/spring-framework/compare/82f421bff80535457816bd5cc0c93134e8ed9ed2…dac97f1b7dac3e70ff603fb6fc9f205b95dd6b01
VULAS-M,CVE-2011-1184,https://github.com/apache/tomcat,639e20992a66d7a42fb59c974db91c8a0f730a1e,CWE-264,MEDIUM,2011,apache,tomcat,4/1/11 11:36,"Add additional configuration options to the DIGEST authenticator
This is the fix for CVE-2011-1184

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1087655 13f79535-47bb-0310-9956-ffa450edef68",9d4a4d89de340ff79c036a37864470eca9a734bb,java,5,0,1,https://github.com/apache/tomcat/compare/9d4a4d89de340ff79c036a37864470eca9a734bb…639e20992a66d7a42fb59c974db91c8a0f730a1e
VULAS-M,CVE-2011-5062,https://github.com/apache/tomcat55,644dfdf96cf82fcd2a2046d93f2b5495f7e94584,CWE-264,MEDIUM,2011,apache,tomcat55,8/18/11 16:49,"Add additional configuration options to the DIGEST authenticator

git-svn-id: https://svn.apache.org/repos/asf/tomcat/tc5.5.x/trunk@1159309 13f79535-47bb-0310-9956-ffa450edef68",9fb8531aa4c40b1f79371c4f42453075f36c02d0,java,5,0,1,https://github.com/apache/tomcat55/compare/9fb8531aa4c40b1f79371c4f42453075f36c02d0…644dfdf96cf82fcd2a2046d93f2b5495f7e94584
