owner,project,type,watch,forks,stars,contributors,releases,commits,branches,prs,issues,license,os/lang
AFNetworking,AFNetworking,Framework,1746,9709,31837,285,65,2888,8,1409,2868,MIT,iOS
antlr,antlr4,Parser,308,1314,4909,169,38,7125,4,1139,1307,BSD-3-Clause,
apache,cassandra,NoSQL DBMS,501,2197,4865,274,234,24390,9,293,,Apache 2.0,
apache,flink,Framework,568,3360,5499,95,84,15339,95,7367,,Apache 2.0,
bmizerany,sinatra,DSL,33,1842,945,134,2,1991,6,4,3,MIT,
BradLarson,GPUImage,Framework,763,4366,18213,122,8,1082,1,434,2168,BSD-3-Clause,iOS
cakephp,cakephp,Framework,662,3374,7741,518,339,36597,23,7667,5162,MIT,PHP
chineking,cola,Framework,180,530,1312,1,1,252,2,1,64,Apache 2.0,
churchio,onebody,,,,,,,,,,,AGPL-3.0,
ci-bonfire,Bonfire,,,,,,,,,,,,
cloudius-systems,osv,,,,,,,,,,,,
cocos2d,cocos2d-objc,,,,,,,,,,,,
Codeception,Codeception,,,,,,,,,,,,
Codiad,Codiad,,,,,,,,,,,,
composer,composer,,,,,,,,,,,,
curl,curl,,,,,,,,,,,,
deeplearning4j,deeplearning4j,,,,,,,,,,,,
dlitz,pycrypto,,,,,,,,,,,,
DrMark,ultrasphinx,,,,,,,,,,,,
edx,edx-platform,,,,,,,,,,,,
facebook,fresco,,,,,,,,,,,,
facebook,buck,,,,,,,,,,,,
facebook,FBSimulatorControl,,,,,,,,,,,,
FFmpeg,FFmpeg,,,,,,,,,,,,
forkcms,forkcms,,,,,,,,,,,,
frappe,erpnext,,,,,,,,,,,,
freedomofpress,securedrop,,,,,,,,,,,,
FreeRDP,FreeRDP,,,,,,,,,,,,
fruux,Baikal,,,,,,,,,,,,
gitbucket,gitbucket,,,,,,,,,,,,
google,google-authenticator,,,,,,,,,,,,
grails,grails-core,,,,,,,,,,,,
graphframes,graphframes,,,,,,,,,,,,
Graylog2,graylog2-server,,,,,,,,,,,,
h2o,h2o,,,,,,,,,,,,
haberman,gazelle,,,,,,,,,,,,
HandBrake,HandBrake,,,,,,,,,,,,
jersey,jersey,,,,,,,,,,,,
jnicklas,merb-core,,,,,,,,,,,,
jokkedk,webgrind,,,,,,,,,,,,
joomla,joomla-cms,,,,,,,,,,,,
josh,rails,,,,,,,,,,,,
jspahrsummers,libextobjc,,,,,,,,,,,,
juozasg,catabuzz,,,,,,,,,,,,
kanboard,kanboard,,,,,,,,,,,,
laravel,framework,,,,,,,,,,,,
libretro,RetroArch,,,,,,,,,,,,
lxc,lxc,,,,,,,,,,,,
lxml,lxml,,,,,,,,,,,,
magicalpanda,MagicalRecord,,,,,,,,,,,,
mantisbt,mantisbt,,,,,,,,,,,,
mattpass,ICEcoder,,,,,,,,,,,,
micahflee,onionshare,,,,,,,,,,,,
MISP,MISP,,,,,,,,,,,,
mojombo,god,,,,,,,,,,,,
mongodb,mongo-php-driver-legacy,,,,,,,,,,,,
moodle,moodle,,,,,,,,,,,,
mozilla,kuma,,,,,,,,,,,,
MPOS,php-mpos,,,,,,,,,,,,
mpv-player,mpv,,,,,,,,,,,,
naver,pinpoint,,,,,,,,,,,,
neo4j,neo4j,,,,,,,,,,,,
Netflix,SimianArmy,,,,,,,,,,,,
nextcloud,server,,,,,,,,,,,,
nginx,nginx-releases,,,,,,,,,,,,
nicolaslopezj,searchable,,,,,,,,,,,,
nodejs,http-parser,,,,,,,,,,,,
openssl,openssl,,,,,,,,,,,,
openstack,nova,,,,,,,,,,,,
osTicket,osTicket,,,,,,,,,,,,
owncloud,core,,,,,,,,,,,,
P0cL4bs,WiFi-Pumpkin,,,,,,,,,,,,
pfdemuizon,phoneinreport,,,,,,,,,,,,
pfsense,pfsense,,,,,,,,,,,,
php,php-src,,,,,,,,,,,,
PHP-DI,PHP-DI,,,,,,,,,,,,
phpmyadmin,phpmyadmin,,,,,,,,,,,,
postgres,postgres,,,,,,,,,,,,
PrestaShop,PrestaShop,,,,,,,,,,,,
Pylons,pyramid,,,,,,,,,,,,
raspberrypi,linux,,,,,,,,,,,,
realm,realm-cocoa,,,,,,,,,,,,
reverse-shell,routersploit,,,,,,,,,,,,
rs,SDWebImage,,,,,,,,,,,,
rubinius,rubinius,,,,,,,,,,,,
scala,scala-dist,,,,,,,,,,,,
scalikejdbc,scalikejdbc,,,,,,,,,,,,
schematics,schematics,,,,,,,,,,,,
slimphp,Slim,,,,,,,,,,,,
splitbrain,dokuwiki,,,,,,,,,,,,
spring-projects,spring-security-oauth,,,,,,,,,,,,
spring-projects,spring-framework,,,,,,,,,,,,
stevedekorte,io,,,,,,,,,,,,
technoweenie,restful-authentication,,,,,,,,,,,,
timburks,nu,,,,,,,,,,,,
toretore,barby,,,,,,,,,,,,
tornadoweb,tornado,,,,,,,,,,,,
torvalds,linux,,,,,,,,,,,,
travis,cosmo,,,,,,,,,,,,
twitter,finagle,,,,,,,,,,,,
unbit,uwsgi,,,,,,,,,,,,
vanilla,vanilla,,,,,,,,,,,,
WordPress,WordPress,,,,,,,,,,,,
yigit,android-priority-jobqueue,,,,,,,,,,,,
zxing,zxing,,,,,,,,,,,,
