owner,project,watchers,stars,forks,contributors,commits,branches,releases,language,size,o_issues,c_issues,o_prs,c_prs,license,type,os/lang,tags,g_tags
AFNetworking,AFNetworking,1745,31841,9706,286,2888,8,65,Objective-C,5612,346,3932,72,1337,MIT License,Framework,iOS;macOS;watchOS;tvOS,networking;library;cocoa,
antlr,antlr4,307,4917,1315,169,7125,4,38,Java,62517,383,2064,25,1115,Other,Parser,Java;C#;Python2/3;JavaScript;Go;C++;Swift,structured-text;binary-files,parsing;parser-generator;antlr;antlr4;java;grammar;python;parse;language-recognition;javascript;csharp;swift;cpp;golang
apache,cassandra,501,4866,2199,273,24390,9,234,Java,279352,111,182,111,182,Apache License 2.0,DBMS,CQL,nosql;apache;scalability;row-store;highly-scalable;partitioning;relational-databases;cql;big-data,
apache,flink,569,5523,3372,309,15339,95,84,Java,172225,461,6913,461,6913,Apache License 2.0,Framework,,apache;clustering;memory-speed;stream-processing;batch-processing,
bmizerany,sinatra,33,944,1842,134,1991,6,2,Ruby,7905,2,5,2,2,MIT License,DSL,Ruby,web-applications;ruby;routing;templates;fast-development,
BradLarson,GPUImage,762,18220,4366,122,1082,1,8,Objective-C,44862,965,1638,84,350,"BSD 3-Clause ""New"" or ""Revised"" License",Framework,iOS,gpu-based;video-processing;image-processing,
cakephp,cakephp,662,7741,3374,364,36600,23,339,PHP,82371,231,12601,24,7645,MIT License,Framework,PHP,web-applications;design-patterns,cakephp;php;mvc-framework;psr-7;orm;mvc;validation;rest-api;web;web-framework;rapid-development;form-builder
chineking,cola,180,1313,529,1,252,2,1,Python,676,14,51,1,0,Other,Framework,,crawling;structured-data;websites;fast;flexible;local;distributed,
churchio,onebody,82,1388,294,48,5189,17,39,Ruby,30326,15,698,0,282,GNU Affero General Public License v3.0,Web,,web-applications;web-based,ruby;ruby-on-rails;mysql;churches;social-network
ci-bonfire,Bonfire,166,1424,573,77,3273,11,22,PHP,18261,132,1181,5,366,None,Web,PHP,web-applications;hmvc;backend,
cloudius-systems,osv,304,2786,513,93,7653,10,42,C,19031,359,658,3,56,Other,OS,,cloud;operating-system;virtual-machine;effortless-deployment;effortless-management;superior-performance,
