Dataset,Project,sha,owner,project,sha-p,REG,sha-reg,sha-reg-p
SECBENCH,https://github.com/AFNetworking/AFNetworking,f801bc453c8c74d7cd92482a67b66537e72b4835,AFNetworking,AFNetworking,648c650ae700ceba6caf8f9753e7f1a1d1e8ee04,FOUND,1855f3c434a0d5d0dda1807f89995ce52c00cb76,1d649bb6e9d04fe402b50cb6f9a37dd01b5c0d13
SECBENCH,https://github.com/AFNetworking/AFNetworking,6f63157e33149226bfc2f014748cb5ef5c9a3a9b,AFNetworking,AFNetworking,2b2558a90e7bfb2ef5169b1ca21b91851e5a5b7d,FOUND,bad206b41fa5a9d9d3185cfde60019f5b6a5df88,a2e0453cdaf463c0669031c4830f22aa323188ff
SECBENCH,https://github.com/AFNetworking/AFNetworking,2b2558a90e7bfb2ef5169b1ca21b91851e5a5b7d,AFNetworking,AFNetworking,49186d9a3032dc02da1d0cc445cbf69b0cfb001b,FOUND,3486a008a1fd1348d0f2fe748a5e23933d94647a,9cde4e45845486bdb46ad322448f93df3b8479bf
SECBENCH,https://github.com/AFNetworking/AFNetworking,c23c37ab4ab9b2401e824df717538e37bc5c85a4,AFNetworking,AFNetworking,92006270b12ed6778095afc9d8bae9b54210df18,FOUND,789dae8ce405b30aa578870a80255ec8ebdd6cac,59c8256a3181dbfbf5f329f06bea6bd4a70370fa
SECBENCH,https://github.com/AFNetworking/AFNetworking,7d8fba1dbb96819e910a4d849d7a6d8662f972ff,AFNetworking,AFNetworking,e501c8e37b7e1d3f0a48ff6492cb8a3e7c5b43b9,FOUND,b740b88b1fada4e5f280bb04d77728f6983efff0,a60fe2abde6450510d0a284cc74a0b6880bc859a
SECBENCH,https://github.com/antlr/antlr4,d4f2abc5e3def63190c7ab124c5a70dba9e70661,antlr,antlr4,9c186c8d5299e1dcbc8e0c486c3e07c4ab6af0a1,FOUND,1f797853bbab358babf7841abfd8f81088448831,7865142f9e1b38a1e155ad833a21b98d57593c16
VULAS,https://github.com/apache/activemq,1f464b9412e1b1c08d40c8ffac40edd52731da48,apache,activemq,e440e903e206cac9832ca2c56592e6aaec844b81,FOUND,81c167b205f98f4a866b8293bb494bae777457f3,321d9ef310f33626f79e660b601dcbd3cddc52c2
VULAS,https://github.com/apache/activemq,3a71f8e33d0309cb0ca5b5758a8f251da205e757,apache,activemq,f260b17488ac00e8b9e1dcf12ff9ee9b2e68f80e,FOUND,f5dcc9dfbf6635ec70916376afcb7640396def4a,757107d7aa9e8e87c07445bccebe501e3b9ccb0c
VULAS,https://github.com/apache/activemq,51eb87a84be88d28383ea48f6e341ffe1203c5ba,apache,activemq,65af81e09ecbb38e43b1410b2e1bd9c02926fc88,FOUND,456005bf1312eb40e747572b5b371c48a1c74aba,ad585dc4b0381441f1addabc8f2b4a2673d81dfe
VULAS,https://github.com/apache/activemq,148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,apache,activemq,0d58477039f01617c3f1287eb20c118bfa5e0522,FOUND,97ed8c028303d88fd4717f385c554e36616d5f3a,966658fdadb5bca08acacaff23d910eb605a7c90
