Dataset,Code,Project,owner,project,sha-p,sha,sha-reg,sha-reg-p,main_fix,main_prev,diff,Write Short Units of Code-fix,Write Short Units of Code-prev,Write Short Units of Code-diff,Write Simple Units of Code-fix,Write Simple Units of Code-prev,Write Simple Units of Code-diff,Write Code Once-fix,Write Code Once-prev,Write Code Once-diff,Keep Unit Interfaces Small-fix,Keep Unit Interfaces Small-prev,Keep Unit Interfaces Small-diff,Separate Concerns in Modules-fix,Separate Concerns in Modules-prev,Separate Concerns in Modules-diff,Couple Architecture Components Loosely-fix,Couple Architecture Components Loosely-prev,Couple Architecture Components Loosely-diff,Keep Architecture Components Balanced-fix,Keep Architecture Components Balanced-prev,Keep Architecture Components Balanced-diff,Keep Your Codebase Small-fix,Keep Your Codebase Small-prev,Keep Your Codebase Small-diff,Automate Tests-fix,Automate Tests-prev,Automate Tests-diff,Write Clean Code-fix,Write Clean Code-prev,Write Clean Code-diff
SECBENCH,,https://github.com/pfsense/pfsense,pfsense,pfsense,d6a0379d291f5e98500776618559343f40254e40,002bc4ab3268e6e5cb3a01ce73a4c1624d09050a,239024ee663e7fdb7434d47106338708041bce12,737f26e9d6e389b16b8df8716383ac9e126996e0,-150523.95803512746,-152194.06677708772,1670.1087419602554,-410278.32953602297,-408261.639399943,-2016.6901360799675,-991624.9980106407,-989359.1311126532,-2265.866897987551,-112981.71428571426,-112807.46428571426,-174.25,38064.16004239534,37943.65553789084,120.50450450450444,-109235.83381798193,-109189.92580050939,-45.90801747253863,-165392.52631578947,-165567.64473684208,175.11842105261167,122336.66157247926,122039.4820268938,297.179545585459,0.0,0.0,0.0,0.0,0.0,0.0,123873.0,103262.0,20611.0
SECBENCH,,https://github.com/nextcloud/server,nextcloud,server,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,0074062b5329c3d43679909fddce2d70608a4475,633d7826c9577ff687eae33d208f9f5faa9aa1b6,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,-42140.260772321715,-28504.18012091123,-13636.080651410484,-156809.13482975686,-353434.4847651619,196625.349935405,-330935.76317372196,-365268.89993060374,34333.13675688178,-27597.178571428565,-236763.25,209166.07142857142,-13041.382882882885,79958.45045045046,-92999.83333333334,-22104.20744848248,129539.41012600863,-151643.6175744911,-696.4736842105194,128227.06578947368,-128923.5394736842,61578.53286726612,164497.90712072054,-102919.37425345441,0.0,0.0,0.0,0.0,0.0,0.0,68203.0,168202.0,-99999.0
SECBENCH,CVE-2014-1608,https://github.com/mantisbt/mantisbt,mantisbt,mantisbt,b72fdaeb7cb8786401faab520d43092c8bdb44aa,00b4c17088fa56594d85fe46b6c6057bb3421102,c8c95101b89e2261568d056162d04b72157636ed,0c80b35fda6d513933431b0934abfc2e45200f6f,-75264.54920899181,-74986.33740792962,-278.21180106219254,-171258.64353654487,-170979.57834079512,-279.06519574974664,-315930.0572750405,-314574.51792736526,-1355.5393476752215,-143753.96428571426,-143782.82142857142,28.857142857159488,-101760.69157392686,-100410.1942236354,-1350.4973502914654,-86888.7968818842,-86927.85413336019,39.05725147598423,-68842.65789473683,-68943.7236842105,101.06578947367962,80752.81935792946,80641.81565864169,111.00369928777218,0.0,0.0,0.0,0.0,0.0,0.0,55036.5,55113.5,-77.0
SECBENCH,,https://github.com/nextcloud/server,nextcloud,server,742f54b6d556797bbef2847e546861de0008a28a,0241ddc759f7e2d2695c4626df5d2ac27b8b1d90,76fa7bab63190ac363222f7e3653ca04e14dab65,34559ef11428c9a2a1b83f8a63d650d1fa0be49e,2160.3121374741154,1720.1598405805537,440.1522968935617,-186766.53861970207,-184848.45197578476,-1918.0866439173114,-37927.51612306268,-35214.96025907934,-2712.555863983347,21565.392857142862,20711.035714285717,854.3571428571449,25872.844197138318,24668.231584525704,1204.6126126126146,29772.175904362677,32547.97557245182,-2775.7996680891447,9663.17105263158,9332.52631578948,330.6447368420995,77837.59210623047,76584.24145361691,1253.3506526135607,0.0,0.0,0.0,0.0,0.0,0.0,81586.0,73421.0,8165.0
SECBENCH,,https://github.com/splitbrain/dokuwiki,splitbrain,dokuwiki,10ffc9dd6a89562ef502baa21f968cf269fe21b0,02b0b681935185a1c4d2d64e76fe499f3d438d12,702eb8985f33ca5781d2da5cedd9d6a4b9c6a030,3fd0b6768bf7f649d77c937e399f578d7add7637,-3771.0702778163763,-3982.848256260122,211.77797844374572,-53962.099051859426,-53966.099051859426,4.0,-14374.637520240572,-14378.637520240572,4.0,-10221.464285714283,-10297.607142857141,76.1428571428587,6142.99337572867,6138.99337572867,4.0,2732.8792889302918,5071.111148176588,-2338.2318592462966,-3285.684210526313,-3289.684210526313,4.0,18389.309625517868,18385.440838976974,3.8687865408937796,0.0,0.0,0.0,0.0,0.0,0.0,16868.0,12508.0,4360.0
SECBENCH,CVE-2012-3371,https://github.com/openstack/nova,openstack,nova,b91d2fc02d927066ed0fe21439ccb7548de4138f,034762e8060dcf0a11cb039b9d426b0d0bb1801d,d86f1af6326d4276e9cbfb3274c211ff3f5629cb,321f581660aad3fc9da5f88276bfdf11f6960d97,4475.891258544187,4476.062375774234,-0.17111723004745727,-2800.0120205623225,-2797.6158393766727,-2.396181185649766,4198.175387462411,4204.86657413833,-6.691186675919198,10869.964285714286,10867.964285714286,2.0,-7436.6396396396385,-7434.09009009009,-2.5495495495488285,3032.089733422292,3030.089733422292,2.0,10349.934210526317,10347.934210526317,2.0,16639.400628518524,16637.47488340788,1.9257451106459484,0.0,0.0,0.0,0.0,0.0,0.0,9906.0,9904.0,2.0
SECBENCH,,https://github.com/realm/realm-cocoa,realm,realm-cocoa,8ceae74eb169a98676da084b7e1667d51c765bc2,04ca766cbbdec1ba417f90f038c9376170edbc12,95e03cdbdbafc29847fcd39022e6afb03e8e1f2c,8cc68188613057813597333fa82e8b34955c87fa,-1740.4896259316895,-1955.4600485018943,214.97042257020485,-10048.494434180622,-10081.043635281734,32.549201101111976,-29070.238260467268,-29214.08794818413,143.8496877168618,4099.714285714286,4180.071428571428,-80.35714285714221,3970.6036036036035,3364.536036036036,606.0675675675675,3246.2140678172354,4358.207605835924,-1111.993538018689,447.3684210526317,-355.43421052631584,802.8026315789475,5694.936057143239,5225.650238529846,469.2858186133926,0.0,0.0,0.0,0.0,0.0,0.0,4255.0,2967.5,1287.5
SECBENCH,,https://github.com/mattpass/ICEcoder,mattpass,ICEcoder,f82914207dca4a4f36404ac371610421cfb52d93,05de070294681745bdc5c54b336dd48083feb59e,6f9c127c1b9fd9bf4f6b81ab9baae1bb827ecef2,3facbe2de670ed1eb3474397f2cdf7b6ee91e548,-1262.569553477888,-1292.3419253039715,29.7723718260836,-34656.33577092527,-34641.87607695691,-14.459693968354259,-26686.3831598427,-26700.050381679386,13.667221836687531,6456.785714285715,6454.785714285715,2.0,3240.107313195549,3239.00821409645,1.0990990990990213,9258.355719482874,9256.355719482874,2.0,9462.894736842105,9460.894736842105,2.0,10701.379912182845,10708.962820889441,-7.582908706595845,0.0,0.0,0.0,0.0,0.0,0.0,9597.5,9298.5,299.0
SECBENCH,CVE-2012-2098,https://github.com/apache/commons-compress,apache,commons-compress,fdd7459bc5470e90024dbe762249166481cce769,0600296ab8f8a0bbdfedd483f51b38005eb8e34e,5ed6fa433492c0ca701593efa7860b65587778ab,ab26943fe8e29f8e5603d5e788dc75abeba898bf,1236.791025575014,1236.791025575014,0.0,-4555.974279027769,-4555.974279027769,0.0,-4941.175803839926,-4941.175803839926,0.0,2801.321428571429,2801.321428571429,0.0,695.3545310015902,695.3545310015902,0.0,1899.3514059005445,1899.3514059005445,0.0,7362.0,7362.0,0.0,4517.032973144271,4517.032973144271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4590.0,4590.0,0.0
SECBENCH,CVE-2012-2660,https://github.com/josh/rails,josh,rails,9340f89849606dba02f44038171f3837f883fd4e,060c91cd59ab86583a8f2f52142960d3433f62f5,3d08614826e18e005818c7685b9bc4cdc28f77af,4017f6c7e6990e04d81fef943fd6bd6691e11f8f,12514.829422301958,7929.877370378612,4584.9520519233465,16739.10580904786,16242.622602398893,496.4832066489653,15641.188248901226,15382.071663196853,259.1165857043725,29508.571428571428,29072.964285714286,435.6071428571413,16667.609167991523,17554.79676735559,-887.1875993640679,21479.35534603071,20848.97696765233,630.3783783783801,-50401.39473684211,-51205.434210526306,804.039473684199,30024.858959318954,29598.775627994477,426.0833313244766,0.0,0.0,0.0,0.0,0.0,0.0,45489.0,1804.0,43685.0
