Dataset,Code,Project,sha,owner,project,sha-p,sha-reg,sha-reg-p,main_fix,main_prev,diff,Write Short Units of Code-fix,Write Short Units of Code-prev,Write Short Units of Code-diff,Write Simple Units of Code-fix,Write Simple Units of Code-prev,Write Simple Units of Code-diff,Write Code Once-fix,Write Code Once-prev,Write Code Once-diff,Keep Unit Interfaces Small-fix,Keep Unit Interfaces Small-prev,Keep Unit Interfaces Small-diff,Separate Concerns in Modules-fix,Separate Concerns in Modules-prev,Separate Concerns in Modules-diff,Couple Architecture Components Loosely-fix,Couple Architecture Components Loosely-prev,Couple Architecture Components Loosely-diff,Keep Architecture Components Balanced-fix,Keep Architecture Components Balanced-prev,Keep Architecture Components Balanced-diff,Keep Your Codebase Small-fix,Keep Your Codebase Small-prev,Keep Your Codebase Small-diff,Automate Tests-fix,Automate Tests-prev,Automate Tests-diff,Write Clean Code-fix,Write Clean Code-prev,Write Clean Code-diff
VULAS,CVE-2016-4464,https://github.com/apache/cxf-fediz,0006581e9cacbeef46381a223e5671e524d416b6,apache,cxf-fediz,d30ea588c63b896be10171382e6f2a0d10f0022d,159bf90ef220ffa8b5dfb42f2b7ffc6f10c15f86,f46137383305dd76428da60bd9b2e613815cd694,1329.907399734391,1244.3691844441253,85.53821529026573,-3756.053478017778,-3844.3003087411184,88.24683072334028,-4626.135507749248,-4715.135507749248,89.0,-21418.464285714283,-21510.464285714283,92.0,4762.263116057234,4675.53789083201,86.72522522522377,4860.3122374820105,4722.3122374820105,138.0,8551.605263157895,8413.605263157895,138.0,13976.54665212808,13891.136555173987,85.4100969540923,0.0,0.0,0.0,0.0,0.0,0.0,10949.0,10811.0,138.0
SECBENCH,,https://github.com/pfsense/pfsense,002bc4ab3268e6e5cb3a01ce73a4c1624d09050a,pfsense,pfsense,d6a0379d291f5e98500776618559343f40254e40,08e3c543d8386890cbbaa58fc6d43a06adf693fc,b694936ea919ce2d9633507ae881259e2af8e303,-21941.677810594163,-21941.677810594163,0.0,-66510.464217869,-66510.464217869,0.0,-152700.51760351605,-152700.51760351605,0.0,-8834.142857142855,-8834.142857142855,0.0,8135.452570217277,8135.452570217277,0.0,-8271.632470616865,-8271.632470616865,0.0,-27454.81578947368,-27454.81578947368,0.0,18765.842262459562,18765.842262459562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17453.5,17453.5,0.0
SECBENCH,,https://github.com/nextcloud/server,0074062b5329c3d43679909fddce2d70608a4475,nextcloud,server,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,46e43d49acf0274c8b7b64f633ab76d0fa5c8d8f,8001f2abcd09c491ff634d0360f0650987669562,11723.463768154961,11723.463768154961,0.0,-285787.02312376135,-285787.02312376135,0.0,-11208.101411057136,-11208.101411057136,0.0,43786.96428571429,43786.96428571429,0.0,46469.45336512984,46469.45336512984,0.0,64629.55735218218,64629.55735218218,0.0,38662.565789473694,38662.565789473694,0.0,116952.72142386809,116952.72142386809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103728.5,103728.5,0.0
VULAS,CVE-2011-0534,https://github.com/apache/tomcat,008447095ce8c3a8f713093d5e618f3f06f94ea8,apache,tomcat,b4e9488629bf03b4b65abf335e536e85386d1366,4fe6d6f758184de96ac4b5b5a55b430debacf82c,86d9ac78c2958faf207ec7151d08d6192161eee2,-12395.874050630071,-12395.874050630071,0.0,-159916.1929927527,-159916.1929927527,0.0,-349655.8173953273,-349655.8173953273,0.0,-29814.39285714284,-29814.39285714284,0.0,27794.64334923159,27794.64334923159,0.0,-170914.2691750903,-170914.2691750903,0.0,220233.30263157896,220233.30263157896,0.0,176720.9859332019,176720.9859332019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161593.0,161593.0,0.0
VULAS,CVE-2014-3576,https://github.com/apache/activemq,00921f22ff9a8792d7663ef8fadd4823402a6324,apache,activemq,9a6d444e0a492231ad1f4833448b3bbacd839bce,5abd2d231abfe076a54981d5bf4fb4f71d47f183,455f1ca475be252b6ffdd07176bf659b81685ea7,-33666.57819151733,-33666.57819151733,0.0,-3067.1833229641875,-3067.1833229641875,0.0,6944.56284987277,6944.56284987277,0.0,-338365.64285714284,-338365.64285714284,0.0,52054.04663487017,52054.04663487017,0.0,-212143.91120230616,-212143.91120230616,0.0,-105356.28947368418,-105356.28947368418,0.0,142652.63545618113,142652.63545618113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120616.0,120616.0,0.0
SECBENCH,CVE-2014-1608,https://github.com/mantisbt/mantisbt,00b4c17088fa56594d85fe46b6c6057bb3421102,mantisbt,mantisbt,b72fdaeb7cb8786401faab520d43092c8bdb44aa,19c0ab51c5d107baf8d5646948e82dbf9cc7b4ac,6dd8ad33b866877a044cf89d17e247e2b11b2314,-61933.00175207098,-61935.566295482364,2.564543411383056,-173573.43896667883,-173574.3902265483,0.9512598694709595,-253054.14994216978,-253056.49553550774,2.3455933379591443,-43526.964285714275,-43524.964285714275,-2.0,-104959.7739798622,-104962.32352941176,2.5495495495561045,-96327.61865708278,-96342.00720678759,14.388549704803154,-89311.63157894736,-89322.92105263157,11.28947368421359,73484.55988974546,73486.43888177763,-1.8789920321723912,0.0,0.0,0.0,0.0,0.0,0.0,67939.0,67941.0,-2.0
VULAS,JAVAMELODY-252,https://github.com/javamelody/javamelody,00ff3490878e78f3f8c9eb65efb054f85f6058f8,javamelody,javamelody,5accb6003ff7ed56c74d0a21ae40a1a8c38a42ca,bd1dae4b5a5a8f2295c13bdb9ed7588a70b4328c,01fb9b66dd5cd42b05ae548d35ba0a543a12c305,2576.912299801502,2562.729316546979,14.182983254522696,813.4874252885105,808.4874252885105,5.0,11410.585935692805,11405.585935692805,5.0,10420.214285714286,10415.214285714286,5.0,276.33306836248084,271.33306836248084,5.0,-16611.058248047768,-16617.058248047768,6.0,-8713.32894736842,-8719.32894736842,6.0,19743.389478373123,19738.559645827896,4.829832545226964,0.0,0.0,0.0,0.0,0.0,0.0,8429.5,8324.5,105.0
SECBENCH,,https://github.com/scala/scala-dist,01285f0475fec7a21bb4cb1f30363df2e294966d,scala,scala-dist,5379de92c562ff3646e78ecb938d31bebcabce10,843a105cfda4ac8d24a46d980cbf69ccdb84a710,1999eb640d926ab1b9173e44dec8c5bf61f5b295,1772.686091622942,1772.686091622942,0.0,151.6597879004547,151.6597879004547,0.0,-313.58408512606985,-313.58408512606985,0.0,2362.607142857143,2362.607142857143,0.0,2187.887387387387,2187.887387387387,0.0,3694.758112094395,3694.758112094395,0.0,3732.0,3732.0,0.0,2229.0325711161095,2229.0325711161095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3682.5,3682.5,0.0
SECBENCH,,https://github.com/nextcloud/server,0241ddc759f7e2d2695c4626df5d2ac27b8b1d90,nextcloud,server,742f54b6d556797bbef2847e546861de0008a28a,41f8be47eb4840f459cf3e99631d9b9cbb983699,effca30d1057deb56ed181662ffc3549ddca06e5,-8010.184696005423,-8010.184696005423,0.0,-746753.276797843,-746753.276797843,0.0,23900.796437659028,23900.796437659028,0.0,-462948.2142857142,-462948.2142857142,0.0,123677.78590355063,123677.78590355063,0.0,266156.9442759014,266156.9442759014,0.0,195557.11842105264,195557.11842105264,0.0,302276.9990853393,302276.9990853393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218030.0,218030.0,0.0
VULAS,CVE-2018-8030,https://github.com/apache/qpid-broker-j,025b48f3193e2b10b1c41d2bc3bcfc9cfc238a27,apache,qpid-broker-j,560d4a3b3a51deb4cb79303976cd87a16b8e0997,8c042756b5a20634483ac72010f50a451b124371,f913932786d6f4de15cbeef7891bb14fb2fcdc8d,569.8635729042409,562.8392544492351,7.024318455005755,-4360.835238774343,-4362.031361071137,1.1961222967938738,13445.23849178811,13431.23849178811,14.0,148.10714285714494,134.10714285714494,14.0,-5955.185744568095,-5955.185744568095,0.0,-30737.955068249426,-30737.955068249426,0.0,-17846.223684210527,-17860.223684210527,14.0,31640.989830199545,31627.942767946282,13.047062253262993,0.0,0.0,0.0,0.0,0.0,0.0,19364.5,19350.5,14.0
