Dataset,Code,Project,sha,CWE,Severity,Year,owner,project,Date,Message,sha-p,Language,Score,main_fix,main_prev,diff,Write Short Units of Code-fix,Write Short Units of Code-prev,Write Short Units of Code-diff,Write Simple Units of Code-fix,Write Simple Units of Code-prev,Write Simple Units of Code-diff,Write Code Once-fix,Write Code Once-prev,Write Code Once-diff,Keep Unit Interfaces Small-fix,Keep Unit Interfaces Small-prev,Keep Unit Interfaces Small-diff,Separate Concerns in Modules-fix,Separate Concerns in Modules-prev,Separate Concerns in Modules-diff,Couple Architecture Components Loosely-fix,Couple Architecture Components Loosely-prev,Couple Architecture Components Loosely-diff,Keep Architecture Components Balanced-fix,Keep Architecture Components Balanced-prev,Keep Architecture Components Balanced-diff,Keep Your Codebase Small-fix,Keep Your Codebase Small-prev,Keep Your Codebase Small-diff,Automate Tests-fix,Automate Tests-prev,Automate Tests-diff,Write Clean Code-fix,Write Clean Code-prev,Write Clean Code-diff
SECBENCH,,https://github.com/pfsense/pfsense,002bc4ab3268e6e5cb3a01ce73a4c1624d09050a,CWE-77,,2010,pfsense,pfsense,7/23/10 7:59,"Fix the glob() to return only the files, not the pathnames, use chdir()
before.
Fix a possible injection of ../ in the database path by using basename()
Fix the week graph math so it is correct.",d6a0379d291f5e98500776618559343f40254e40,php,,-106557.6678,-106552.7746,-4.893254817,-293673.2687,-293656.8896,-16.37908191,-693517.6854,-693467.2486,-50.43678001,-103089.1429,-103092.1429,3,30296.88686,30293.88686,3,-48594.54212,-48597.54212,3,-142063.5395,-142066.5395,3,92103.61318,92100.72986,2.883313745,0,0,0,0,0,0,92961,92958,3
SECBENCH,,https://github.com/nextcloud/server,0074062b5329c3d43679909fddce2d70608a4475,CWE-79,,2012,nextcloud,server,6/15/12 13:51,fixed xss vulnerability,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,php,,-28504.18012,-28504.18012,0,-353434.4848,-353434.4848,0,-365268.8999,-365268.8999,0,-236763.25,-236763.25,0,79958.45045,79958.45045,0,129539.4101,129539.4101,0,128227.0658,128227.0658,0,164497.9071,164497.9071,0,0,0,0,0,0,0,168202,168202,0
SECBENCH,CVE-2014-1608,https://github.com/mantisbt/mantisbt,00b4c17088fa56594d85fe46b6c6057bb3421102,CWE-89,HIGH,2014,mantisbt,mantisbt,1/17/14 21:24,"Fix CVE-2014-1608: mc_issue_attachment_get SQL injection

Use of db_query() instead of db_query_bound() allowed SQL injection
attacks due to unsanitized use of parameters within the query when using
the SOAP API mc_issue_attachment_get.

This issue was reported by e-mail by Andrea Barisani from oCERT, on
behalf of Martin Herfurt <martin.herfurt@nruns.com>, a security
researcher at n.runs professionals GmbH, who discovered the issue
during an audit at a customer's site.

Fixes #16879

Signed-off-by: Damien Regad <dregad@mantisbt.org>

Conflicts:
	api/soap/mc_file_api.php",b72fdaeb7cb8786401faab520d43092c8bdb44aa,php,7.5,-79548.49765,-79550.55449,2.056839125,-186953.0469,-186974.8856,21.83877587,-315209.7382,-315223.1206,13.38237335,-100272.5714,-100268.5714,-4,-155979.0318,-155984.1309,5.099099099,-85134.25915,-85130.25915,-4,-82629.89474,-82625.89474,-4,71727.06566,71730.81752,-3.751857079,0,0,0,0,0,0,58966.5,58970.5,-4
SECBENCH,,https://github.com/scala/scala-dist,01285f0475fec7a21bb4cb1f30363df2e294966d,,,2017,scala,scala-dist,4/3/17 18:14,"Ensure archive fetch script uses HTTPS download

This is to prevent an MitM possible by downloading the releases
in plain text (using HTTP). Per scala/scala-lang#627 this script
appears to make artifacts available on scala-lang.org and so any
form of attack here could be problematic.",5379de92c562ff3646e78ecb938d31bebcabce10,bash,,95.45291425,95.45291425,0,16.44342349,16.44342349,0,72.83715013,72.83715013,0,229,229,0,116.2072072,116.2072072,0,276,276,0,276,276,0,137.5413617,137.5413617,0,0,0,0,0,0,0,-169.5,-169.5,0
SECBENCH,,https://github.com/nextcloud/server,0241ddc759f7e2d2695c4626df5d2ac27b8b1d90,CWE-384,,2014,nextcloud,server,2/20/14 13:28,"Merge pull request #6519 from nhirokinet/master

Security Update: session fixation",742f54b6d556797bbef2847e546861de0008a28a,php,,2385.559193,1652.972537,732.5866557,-187836.5028,-188498.6195,662.1166721,-36804.19533,-38345.65667,1541.461346,21676.17857,21676.17857,0,26378.15501,26379.15501,-1,34488.11337,30373.88388,4114.229493,12241.06579,11231.06579,1010,78671.2773,78672.21825,-0.940953943,0,0,0,0,0,0,75041.5,75041.5,0
SECBENCH,,https://github.com/splitbrain/dokuwiki,02b0b681935185a1c4d2d64e76fe499f3d438d12,CWE-79,,2006,splitbrain,dokuwiki,10/8/06 10:05,"strip controlchars in fetch.php #935

Fixes a header injection/XSS vulnerability

darcs-hash:20061008100523-7ad00-be06a942badb6a2a9ed862be003ee0050504b4b0.gz",10ffc9dd6a89562ef502baa21f968cf269fe21b0,php,,-9843.548127,-9841.386214,-2.161913556,-171053.1736,-171056.1736,3,-57206.73162,-57209.73162,3,-10646.03571,-10648.03571,2,24072.41865,24069.41865,3,20435.3788,20456.96162,-21.58282456,-4885.421053,-4868.486842,-16.93421053,50150.08325,50147.18535,2.897899527,0,0,0,0,0,0,50698,50695,3
SECBENCH,CVE-2012-3371,https://github.com/openstack/nova,034762e8060dcf0a11cb039b9d426b0d0bb1801d,CWE-20,LOW,2012,openstack,nova,6/26/12 16:44,"Use compute_api.get_all in affinity filters.

Updates the affinity filters so they make a single compute API
call to lookup instance host information rather than single
lookups for each UUID.

This resolves a potential performance issue which can cause a
scheduler to hang while processing requests which contain large numbers
of UUID's in the scheduler_hints.

Fixes LP Bug #1017795.

Change-Id: I30f434faf109058573ee41c4a6abce2e48939e8d",b91d2fc02d927066ed0fe21439ccb7548de4138f,py,3.5,-1059.567021,-1063.192267,3.625245941,-47978.79708,-47983.79708,5,-99075.26565,-99077.69567,2.430025445,32756.75,32752.75,4,-45263.41229,-45268.41229,5,16556.62823,16551.62823,5,51957.46053,51952.46053,5,47460.46606,47455.64363,4.82243396,0,0,0,0,0,0,32990.5,32985.5,5
SECBENCH,,https://github.com/realm/realm-cocoa,04ca766cbbdec1ba417f90f038c9376170edbc12,CWE-664,,2015,realm,realm-cocoa,11/19/15 19:22,"Fix memory leak when using Object(value:) for subclasses with List/RealmOptional properties

Calling `[self init]` from `[RLMObjectBase initWithValue:schema:]` ends up
calling a second non-convenience Swift initializer on the object, which means
that all of the properties get initialized a second time and the old values are
leaked.

Closes #2882.",8ceae74eb169a98676da084b7e1667d51c765bc2,mm,,-4827.510647,-4800.476405,-27.03424294,-18846.77975,-18761.94786,-84.83189674,-56059.12625,-55817.18464,-241.9416146,-8647.964286,-8654.964286,7,6735.833598,6725.833598,10,4991.615785,4981.615785,10,4703.342105,4693.342105,10,9233.97233,9224.541248,9.431081942,0,0,0,0,0,0,9614,9604,10
SECBENCH,,https://github.com/mattpass/ICEcoder,05de070294681745bdc5c54b336dd48083feb59e,CWE-98,,2014,mattpass,ICEcoder,9/16/14 17:12,"Die if we have a realpath file vs doc root mismatch

Stops LFI attacks such as:

lib/file-control.php?action=load&file=/..././/..././/..././/..././/..././/..././etc|passwd&csrf=4c43835566ee4e2x4a455df75a66c47f",f82914207dca4a4f36404ac371610421cfb52d93,php,,-429.9811335,-425.0868179,-4.894315601,-23949.99583,-23933.61675,-16.37908191,-17065.7498,-17015.31302,-50.43678001,5475.892857,5472.892857,3,2045.537626,2042.537626,3,6866.903813,6863.903813,3,7003.263158,7000.263158,3,8082.836845,8079.964139,2.872705904,0,0,0,0,0,0,7241.5,7238.5,3
SECBENCH,CVE-2012-2098,https://github.com/apache/commons-compress,0600296ab8f8a0bbdfedd483f51b38005eb8e34e,CWE-310,MEDIUM,2012,apache,commons-compress,5/20/12 18:04,"[CVE-2012-2098] Integrate fallback sort into the rest, add some more tests and fix bug in bucket boundary calculation

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1340786 13f79535-47bb-0310-9956-ffa450edef68",fdd7459bc5470e90024dbe762249166481cce769,java,5,1802.009494,1797.197621,4.811872231,-4469.360572,-4455.308933,-14.05163912,-5716.573352,-5684.290678,-32.28267407,5830.107143,5817.107143,13,-632.681505,-640.3076312,7.626126126,-1437.158747,-1457.158747,20,12197,12177,20,7328.261969,7314.435059,13.82690937,0,0,0,0,0,0,4920.5,4900.5,20
