,owner_sec,project_sec,sha_sec,sha-p_sec,main(sha)_sec,main(sha-p)_sec,main(diff)_sec,owner_reg,project_reg,sha_reg,sha-p_reg,main(sha)_reg,main(sha-p)_reg,main(diff)_reg,pattern,language
0,BradLarson,GPUImage,5a1ea832cca2f9b402444af0ed1537f3df74199a,2f8e61c4ffcdfa93ee3d8f39f8110e61cfc3daf1,-6187.7888701632355,-6180.657474580229,-7.1313955830064515,BradLarson,GPUImage,6321801210d2e67bc9cdd468a279a9ae16e2a083,2f8e61c4ffcdfa93ee3d8f39f8110e61cfc3daf1,-6270.403408981816,-6180.657474580229,-89.74593440158696,ml,objc
1,composer,composer,3a03b51ae324af0c886edcc25e3313787bd3cf68,5292f2b402aee06d51856ccd74e03665f1dc8d67,970.6721728738233,970.6721728738233,0.0,composer,composer,b750e70f5f516f6f7d47dbbd9681e487d2c2e37f,5292f2b402aee06d51856ccd74e03665f1dc8d67,1747.1976838856917,970.6721728738233,776.5255110118684,injec,php
2,josh,rails,bfc432574d0b141fd7fe759edfe9b6771dd306bd,586a944ddd4d03e66dea1093306147594748037a,13973.63025361697,13973.63025361697,0.0,josh,rails,d4d87941cbf4d8204c8d3ac6f4a87c29e42445b0,586a944ddd4d03e66dea1093306147594748037a,15781.087745939487,13973.63025361697,1807.4574923225173,xss,ruby
3,nextcloud,server,d01b78a4b486860ab7110677e9969a37ee2a832f,4e327295c65b25fc5d6ceec5a8242eecf57b94e2,-58372.70895866615,-58372.70895866615,0.0,nextcloud,server,acd3c11e47212e3b9d59a914cea408637582bb06,4e327295c65b25fc5d6ceec5a8242eecf57b94e2,8578.198691392688,-58372.70895866615,66950.90765005884,xss,php
4,mantisbt,mantisbt,edb817991b99cd5538f102be26865fde7c6b7212,61e90d0653f1532010a00eddb70609395a42ec6c,-81695.17099750602,-81695.17099750602,0.0,mantisbt,mantisbt,e4ccc3fd1aab62b6e3dbfbfdba3173f273815d02,61e90d0653f1532010a00eddb70609395a42ec6c,-16063.674498182398,-81695.17099750602,65631.49649932362,xss,php
5,openssl,openssl,4a23b12a031860253b58d503f296377ca076427b,80bd7b41b30af6ee96f519e629463583318de3b0,-1880221.2660152183,-1880180.5676501216,-40.69836509670131,openssl,openssl,48f2ef8d004f1fa043238bd87b5976c53d278b80,80bd7b41b30af6ee96f519e629463583318de3b0,-89642.93890786522,-1880180.5676501216,1790537.6287422564,misc,c
6,php,php-src,e69b1ff2c43fbfd672097e9f8b25dead81f34ccf,da400e7500e236a332b8104b373e60e842bbd63e,-6270938.20748016,-6271095.988365241,157.78088508173823,php,php-src,7bfb397338475056724b5e2d60f79d6d905df944,da400e7500e236a332b8104b373e60e842bbd63e,-2134605.2554568932,-6271095.988365241,4136490.732908348,injec,c
7,rubinius,rubinius,448f5dc7e41b87ea3644dcdabaf2150ef2617ecd,0f2be377d10a9b878b404dcde5e437b69ca8edf6,828.8951950514255,827.4161335193089,1.4790615321165888,rubinius,rubinius,dfdf09474b5ef914979959a9bff2bc86b22fe053,0f2be377d10a9b878b404dcde5e437b69ca8edf6,-1307623.9007346912,827.4161335193089,-1308451.3168682104,ml,c++
8,josh,rails,6a519401176126cd808aa5e3562a21f34a64de65,8a35865b747e0e96ae53e45997d6742f8f0ccfc3,4820.794750434781,4826.554626740181,-5.759876305400212,josh,rails,0f2f8003d2351079ce6ec0e706e474d8024839cc,8a35865b747e0e96ae53e45997d6742f8f0ccfc3,14907.120229111271,4826.554626740181,10080.56560237109,ml,ruby
9,josh,rails,306dc1a499908ba105e6b0fe8b8e01824c5e04d7,e759b5277e404cb0ca8353d0c6eba8a5c471af41,18776.324155116235,18901.96400974082,-125.63985462458368,josh,rails,80a2c9e5db33b85d0ad5867aa7b82c4b731e94d6,e759b5277e404cb0ca8353d0c6eba8a5c471af41,15822.547675987289,18901.96400974082,-3079.41633375353,misc,ruby
10,cakephp,cakephp,819cd1d667090c5b0cee9fc525dd312fe647c978,d60191a1f6e396e94f63db43c41353a19d5dfda5,-4961.5035779695745,-4972.409828046437,10.906250076862307,cakephp,cakephp,1ba6e2180ff3d3122b18e7525d336f70b435d6c6,d60191a1f6e396e94f63db43c41353a19d5dfda5,25174.806984995514,-4972.409828046437,30147.216813041952,injec,php
12,grails,grails-core,b2e1ca445f26a2a6a58a284b4089ffd1e65ddaf6,a5988e10e2f5229719b34b3c48cf395a066a3105,18470.978701567776,18459.69849576041,11.280205807364837,grails,grails-core,14a99168d23c502324efcfe6bbfd55a24bd8441f,a5988e10e2f5229719b34b3c48cf395a066a3105,18298.693510958397,18459.69849576041,-161.0049848020135,xss,groovy
