owner,project,sha,sha-p,main(sha),main(sha-p),main(diff)
BradLarson,GPUImage,6321801210d2e67bc9cdd468a279a9ae16e2a083,2f8e61c4ffcdfa93ee3d8f39f8110e61cfc3daf1,-6270.403408981816,-6180.657474580229,-89.74593440158696
composer,composer,b750e70f5f516f6f7d47dbbd9681e487d2c2e37f,5292f2b402aee06d51856ccd74e03665f1dc8d67,1747.1976838856917,970.6721728738233,776.5255110118684
josh,rails,d4d87941cbf4d8204c8d3ac6f4a87c29e42445b0,586a944ddd4d03e66dea1093306147594748037a,15781.087745939487,13973.63025361697,1807.4574923225173
nextcloud,server,acd3c11e47212e3b9d59a914cea408637582bb06,4e327295c65b25fc5d6ceec5a8242eecf57b94e2,8578.198691392688,-58372.70895866615,66950.90765005884
mantisbt,mantisbt,e4ccc3fd1aab62b6e3dbfbfdba3173f273815d02,61e90d0653f1532010a00eddb70609395a42ec6c,-16063.674498182398,-81695.17099750602,65631.49649932362
openssl,openssl,48f2ef8d004f1fa043238bd87b5976c53d278b80,80bd7b41b30af6ee96f519e629463583318de3b0,-89642.93890786522,-1880180.5676501216,1790537.6287422564
php,php-src,7bfb397338475056724b5e2d60f79d6d905df944,da400e7500e236a332b8104b373e60e842bbd63e,-2134605.2554568932,-6271095.988365241,4136490.732908348
rubinius,rubinius,dfdf09474b5ef914979959a9bff2bc86b22fe053,0f2be377d10a9b878b404dcde5e437b69ca8edf6,-1307623.9007346912,827.4161335193089,-1308451.3168682104
josh,rails,0f2f8003d2351079ce6ec0e706e474d8024839cc,8a35865b747e0e96ae53e45997d6742f8f0ccfc3,14907.120229111271,4826.554626740181,10080.56560237109
josh,rails,80a2c9e5db33b85d0ad5867aa7b82c4b731e94d6,e759b5277e404cb0ca8353d0c6eba8a5c471af41,15822.547675987289,18901.96400974082,-3079.41633375353
cakephp,cakephp,1ba6e2180ff3d3122b18e7525d336f70b435d6c6,d60191a1f6e396e94f63db43c41353a19d5dfda5,25174.806984995514,-4972.409828046437,30147.216813041952
grails,grails-core,14a99168d23c502324efcfe6bbfd55a24bd8441f,a5988e10e2f5229719b34b3c48cf395a066a3105,18298.693510958397,18459.69849576041,-161.0049848020135
nginx,nginx-releases,a8b475b58878c540f5782b000ab513d38c524355,27294215f36bb3c0e2ed2f438f615efc2bc67260,-18347.075488224527,-34725.374193633645,16378.298705409117
josh,rails,3d08614826e18e005818c7685b9bc4cdc28f77af,9340f89849606dba02f44038171f3837f883fd4e,17360.72942230196,15807.086667655383,1553.6427546465766
owncloud,core,d9e8ebabdcd99bade4201d6be82e1841d30c5d65,b0ecef02e905972bdd963ba03610e5c025a36e1b,7981.882071943514,-10968.985596256425,18950.86766819994
edx,edx-platform,a06cc229a012fa7d6b93027233e1628d565edb95,2ba5d483fc46cf60dba99fb1122d36268cac8ee5,6243.595933260847,31218.430175118574,-24974.834241857727
Graylog2,graylog2-server,59c3aaa285a524faba28adcf8f2381cc118fc05c,1e4ae741ef0a160630628cc9e1d31bfdbb581998,101.61478656141601,3618.2975039188996,-3516.6827173574834
postgres,postgres,9c4eceb4e35e793b0ff882907755618371aecc8b,11cb598c397eaa18916c1a0f944f3ead05dab971,-52097.14627402506,-1009912.2238741046,957815.0776000795
frappe,erpnext,d65a03d437f2eafecce61eaa833bcfe15de7cd6d,fcefc601e09507facd430594307979db65f42650,22956.923230895416,34889.61119895476,-11932.687968059341
nextcloud,server,52669d0ea3d687b79a9ee04c6351e6793803ecb4,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,49939.36467158072,-11386.98012091123,61326.344792491946
josh,rails,8758c6c6e31162b87ca6b9a43e7f2a91cc3ad2d3,3ddd7f7ec9b156e4b7de4c23d448c2db98f30504,17286.887362593963,12025.101902611925,5261.785459982038
grails,grails-core,c2c5ef3b761fcfa59f1f8ee797ae5ad6f6902f75,ba77c1be24538d86dc21aedd4d9e19373ed13ffc,16063.31649127706,18415.019550397796,-2351.703059120735
php,php-src,ecb9a94472ce658ab64cd9b818a8de6051d53c83,64043cb9e5d8bc5af719678893e38ee0290e0c0a,-3538829.1498392895,-7470215.220656286,3931386.0708169965
osTicket,osTicket,0ae7435fcbd356b437a0302da1a31a500fe7047d,03a84301e2e0e6875058814e877b7f7cffa33a98,-12303.372343302362,-12466.296868815165,162.92452551280257
naver,pinpoint,f6ec0eef10e2bd3d2dc4a49479b437d05d315699,b152cab0e88e736782435a41991ae305f2a39177,-843227.995504604,4489.597833136396,-847717.5933377404
