owner,project,link,watchers,stars,forks,contributors,commits,branches,releases,language,size,o_issues,c_issues,t_issues,o_prs,c_prs,t_prs,license,target,domain,app,type,tags,g_tags
AFNetworking,AFNetworking,https://github.com/AFNetworking/AFNetworking,1745,31841,9706,286,2888,8,65,Objective-C,5612,346,3932,4278,72,1337,1409,MIT,,Non-web libraries and frameworks,Web,Library,networking;library;cocoa;iOS;macOS;watchOS;tvOS,
antlr,antlr4,https://github.com/antlr/antlr4,307,4917,1315,169,7125,4,38,Java,62517,383,2064,2447,25,1115,1140,BSD,Java;C#,Software Tool,Compiler,Programming Language,"Parser Generator,structured-text;binary-files,parsing;parser-generator;antlr;antlr4;java;grammar;python;parse;language-recognition;javascript;csharp;swift;cpp;golang",
apache,cassandra,https://github.com/apache/cassandra,501,4866,2199,273,24390,9,234,Java,279352,111,182,293,111,182,293,Apache-2.0,,System software,Cross-Platform,Database,nosql;apache;scalability;row-store;highly-scalable;partitioning;relational-databases;cql;big-data,
bmizerany,sinatra,https://github.com/bmizerany/sinatra,33,944,1842,134,1991,6,2,Ruby,7905,2,5,7,2,2,4,MIT,,Software Tool,Compiler,Programming Language,web-applications;ruby;routing;templates;fast-development,
BradLarson,GPUImage,https://github.com/BradLarson/GPUImage,762,18220,4366,122,1082,1,8,Objective-C,44862,965,1638,2603,84,350,434,BSD-3-Clause,,Non-web libraries and frameworks,Mobile,Framework,gpu-based;video-processing;image-processing,
cakephp,cakephp,https://github.com/cakephp/cakephp,662,7741,3374,364,36600,23,339,PHP,82371,231,12601,12832,24,7645,7669,MIT,,Web libraries and frameworks,Web,Framework,web-applications;design-patterns,cakephp;php;mvc-framework;psr-7;orm;mvc;validation;rest-api;web;web-framework;rapid-development;form-builder
chineking,cola,https://github.com/chineking/cola,180,1313,529,1,252,2,1,Python,676,14,51,65,1,0,1,Apache-2.0,,Web libraries and frameworks,Web,Framework,crawling;structured-data;websites;fast;flexible;local;distributed,
ci-bonfire,Bonfire,https://github.com/ci-bonfire/Bonfire,166,1424,573,77,3273,11,22,PHP,18261,132,1181,1313,5,366,371,None,,Application software,Web,Platform,web-applications;hmvc;backend,
cloudius-systems,osv,https://github.com/cloudius-systems/osv,304,2786,513,93,7653,10,42,C,19031,359,658,1017,3,56,59,BSD-3-Clause,,System software,Server,Operating System,cloud;operating-system;virtual-machine;effortless-deployment;effortless-management;superior-performance,
cocos2d,cocos2d-objc,https://github.com/cocos2d/cocos2d-objc,293,4100,1227,138,8334,12,32,Objective-C,49189,196,1200,1396,20,795,815,Other,,Non-web libraries and frameworks,,Framework,2D-games;demos;graphical-applications;interactive-applications,
Codeception,Codeception,https://github.com/Codeception/Codeception,190,3569,1207,379,6471,13,128,PHP,70935,463,4850,5313,17,2305,2322,MIT,,Web libraries and frameworks,,Framework,full-stack,codeception;php;phpunit;bdd;testing;end-to-end;acceptance-testing;unit-testing;integration-testing
Codiad,Codiad,https://github.com/Codiad/Codiad,229,2476,615,78,1668,3,97,PHP,8514,196,905,1101,7,377,384,Other,,Software Tool,,IDE,ide;web-based;cloud;fast-development;interactive-development,
composer,composer,https://github.com/composer/composer,641,17714,5355,401,8228,3,57,PHP,13384,353,7459,7812,34,2500,2534,MIT,,Software Tool,,Dependency-Manager,,php;composer;dependency-manager;package-manager;packages
